site_no,site_name,street_address,city_state_zip,county,media,violation_date,violation,status,resolved_date,document,full_address,latitude,longitude,id
20506,Smith Island Incinerator,3780 Smith Island Rd,"Ewell, MD, 21824",Somerset,SWP-Refuse Disposal,2022/08/17,Solid Waste Debris from tornado,Returned to Compliance,2022/12/02,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2942200,"3780 Smith Island Rd, Ewell, MD, 21824",37.9886435,-76.0406113,11
7466,PENSKE TRUCK LEASING CO,7205 Montevideo Rd,"Jessup, MD, 20794",Howard,SWP-Hazardous Waste,2023/03/06,Generator had no employees' training record on file (current until facility closure and former for 3 years) [COMAR 26.13.05.02G(5)]\line\line,Returned to Compliance,2023/06/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3065772,"7205 Montevideo Rd, Jessup, MD, 20794",39.1732906,-76.7744644,12
18049,"Ace Plating, LLC","708 Pulaski Hwy, Ste B1","Joppa, MD, 21085",Harford,SWP-Hazardous Waste,2022/08/05,Generator had no employees' training record on file (current until facility closure and former for 3 years) [COMAR 26.13.05.02G(5)]\line\line,Returned to Compliance,2022/07/13,,"708 Pulaski Hwy, Ste B1, Joppa, MD, 21085",,,13
151191,World Recycling Company,2740 Wilmarco Avenue,"Baltimore, MD, 21223",Baltimore City,SWP-Refuse Disposal,2022/02/18,Tipping or unloading areas were not regularly cleared of refuse.,Returned to Compliance,2025/06/23,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2880610,"2740 Wilmarco Avenue, Baltimore, MD, 21223",39.2732517,-76.6592961,14
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Rd,"Westover, MD, 21871",Somerset,SWP-Refuse Disposal,2022/11/23,"Daily or periodic cover does not cover wastes adequately to control vectors, fires, odors, blowing litter, and scavenging",Returned to Compliance,2025/04/29,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2957692,"8716 James Ring Rd, Westover, MD, 21871",,,15
173102,Goodyear Auto Service 3751,1059 Baltimore Boulevard,"Westminster, MD, 21157",Carroll,SWP-Scrap Tire,2021/10/13,Operating without MDE authorization,Returned to Compliance,2021/10/19,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2822917,"1059 Baltimore Boulevard, Westminster, MD, 21157",39.5546733,-76.9586158,16
29763,Newland Park Municipal Landfill,6948 Brick Kiln Rd,"Salisbury, MD, 21801",Wicomico,SWP-Refuse Disposal,2025/05/13,Leachate seeps are uncontrolled,Returned to Compliance,2025/05/14,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3336754,"6948 Brick Kiln Rd, Salisbury, MD, 21801",,,17
31830,Estes Express Lines,201 Chesapeake Blvd,"Elkton, MD, 21921",Cecil,SWP-Hazardous Waste,2023/07/14,"Facility has no ""No Smoking"" sign conspicuously displayed where there is hazard for ignitable or reactive wastes  [COMAR 26.13.05.03G]\line\line",Returned to Compliance,2023/09/26,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3065761,"201 Chesapeake Blvd, Elkton, MD, 21921",39.597499,-75.787753,18
82166,"J/C Demolition and Salvage, Inc",7037 Johnson's Place,"Indian Head, MD, 20640",Charles,SWP-Scrap Tire,2023/04/17,"a total of approximately 9,000 tires scrap tires in Joseph Cobey's possession, with about 80% of them being commercial HD tires. In short, we have a formerly licensed facility open dumping scrap tires for decades rather than actually delivering them to the scrap tire recycling market, which is a violation of open dumping regs and scrap tire license regulations.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3017532,"7037 Johnson's Place, Indian Head, MD, 20640",,,19
174315,H&F Properties LLC,104 Washington St,"Cambridge, MD, 21613",Dorchester,SWP-Scrap Tire,2022/04/01,Scrap tire open dimping.,Returned to Compliance,2022/05/19,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2894000,"104 Washington St, Cambridge, MD, 21613",38.561189,-76.071068,20
29763,Newland Park Municipal Landfill,6948 Brick Kiln Rd,"Salisbury, MD, 21801",Wicomico,SWP-Refuse Disposal,2024/05/31,uncontrolled leachate seeps observed,Returned to Compliance,2024/08/05,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3155141,"6948 Brick Kiln Rd, Salisbury, MD, 21801",,,21
155615,Two Brothers Tires LLC,2800 North Point Blvd,"Dundalk, MD, 21222",Baltimore,SWP-Scrap Tire,2023/10/05,No scrap tire license,Returned to Compliance,2024/12/19,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3068064,"2800 North Point Blvd, Dundalk, MD, 21222",39.2814849,-76.4862203,22
147840,Charlotte Hall Natural Wood Waste Recycling Facility,37308 Carpenter Ln,"Charlotte Hall, MD, 20622",St. Mary's,SWP-Natural Wood Waste,2022/12/01,"No O&M manual available on site, see open site complaint",Returned to Compliance,2025/02/20,,"37308 Carpenter Ln, Charlotte Hall, MD, 20622",,,23
8019,"Rodgers Brothers Service, Inc.",1535 Antelope Ln,"Capitol Heights, MD, 20743",Prince George's,SWP-Refuse Disposal,2024/03/29,"Segregated separate piles of the following present adjacent to co-mingled solid waste tipping pile being sorted/compacted with large excavator: metal, wood waste, dirt/soils, yard waste, unclean fill.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3130036,"1535 Antelope Ln, Capitol Heights, MD, 20743",,,24
1839,Fort George G. Meade WWTP,2212 Chisholm Avenue,"Fort George G. Meade, MD, 20755-5115",Anne Arundel,SWP-Hazardous Waste,2024/12/10,"Contingency plan has not been amended as required ( failure of plan, changes to facility, changes to personnel or equipment) [COMAR 26.13.05.04]\line\line","Ongoing, Referred to Enforcement",2024/11/18,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3246792,"2212 Chisholm Avenue, Fort George G. Meade, MD, 20755-5115",,,25
152908,Scaggs Rd,5855 Scaggs Rd,"Owings, MD, 20736-4201",Calvert,SWP-Refuse Disposal,2022/09/26,Roll-off business is transferring solid waste.,Returned to Compliance,2023/02/02,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2954988,"5855 Scaggs Rd, Owings, MD, 20736-4201",38.6438862,-76.675681,26
178351,Schoonover Property / Wyatt's Rental LLC Greensboro,"Granby Street, (map 301, block 21, parcel 947)","Greensboro, MD, 21639",Caroline,SWP-Refuse Disposal,2023/05/25,Open dumping and burial of solid waste,"Ongoing, Already Referred to Enforcement",1900/01/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3211963,"Granby Street, (map 301, block 21, parcel 947), Greensboro, MD, 21639",,,27
29763,Newland Park Municipal Landfill,6948 Brick Kiln Rd,"Salisbury, MD, 21801",Wicomico,SWP-Refuse Disposal,2023/12/19,Leachate outbreaks are not prevented,Returned to Compliance,2024/02/07,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3092443,"6948 Brick Kiln Rd, Salisbury, MD, 21801",,,28
13670,Quarantine Road Municipal Landfill,6100 Quarantine Rd,"Curtis Bay, MD, 21226",Baltimore City,SWP-Refuse Disposal,2022/03/02,"Daily or periodic cover covers wastes is not adequately applied to control vectors, fires, odors, blowing litter, and scavenging","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2881321,"6100 Quarantine Rd, Curtis Bay, MD, 21226",,,29
169401,McCormick and Company - McCormick Flavor Warehouse,"7001 Quad Ave, Ste A","Rosedale, MD, 21237",Baltimore,SWP-Hazardous Waste,2022/02/06,Universal waste lamp container not closed.,Returned to Compliance,2022/01/13,,"7001 Quad Ave, Ste A, Rosedale, MD, 21237",,,30
165282,"Eisai, Inc",11675 Crossroads Circle,"Baltimore, MD, 21220",Baltimore,SWP-Hazardous Waste,2023/04/21,Container used for satellite accumulation not closed [COMAR 26.13.03.05E(3)(a)]\line\line,Returned to Compliance,2023/04/20,,"11675 Crossroads Circle, Baltimore, MD, 21220",39.3537271,-76.4015121,31
7466,PENSKE TRUCK LEASING CO,7205 Montevideo Rd,"Jessup, MD, 20794",Howard,SWP-Hazardous Waste,2023/03/06,Generator has no contingency plan for emergencies [COMAR 26.13.05.04A]\line\line,Returned to Compliance,2023/06/01,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3065772,"7205 Montevideo Rd, Jessup, MD, 20794",39.1732906,-76.7744644,32
19538,Dorchester County DPW - Beulah Municipal Landfill,6815 E New Market Ellwood Rd,"Hurlock, MD, 21643",Dorchester,SWP-Refuse Disposal,2021/09/28,"See Comment for Item 29. The facility was not observed to control
leachate outbreak by proper collection, storage, and disposal.",Returned to Compliance,2021/12/20,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2822009,"6815 E New Market Ellwood Rd, Hurlock, MD, 21643",,,33
35839,Hampstead Automotive,1525 N Main St,"Hampstead, MD, 21074",Carroll,SWP-Scrap Tire,2021/08/09,No ST License,Returned to Compliance,2021/10/26,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2799014,"1525 N Main St, Hampstead, MD, 21074",39.6225392,-76.8585169,34
2143,Gamse Lithographing Company,7413 Pulaski Hwy,"Rosedale, MD, 21237-2529",Baltimore,SWP-Hazardous Waste,2022/10/12,"Area determined to be eligible for satellite accumulation provisions is not ""at or near the point of generation"" and/or not ""under the control of the operator"" [COMAR 26.13.03.05E(3)]\line\line",Returned to Compliance,2022/12/16,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2981429,"7413 Pulaski Hwy, Rosedale, MD, 21237-2529",39.3113447,-76.5262847,35
31218,"Emanuel Tire Management Maryland, LLC. Site #2",1300 Moreland Ave,"Baltimore, MD, 21216",Baltimore City,SWP-Scrap Tire,2022/08/22,"Open flames, blowtorches, and highly combustible substances are not kept at least 50’ from scrap tire piles",Returned to Compliance,2023/05/25,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2942475,"1300 Moreland Ave, Baltimore, MD, 21216",39.303558,-76.6562072,36
10414,Eastern Sanitary Landfill Solid Waste Management Facility,6257 Days Cove Rd,"White Marsh, MD, 21162",Baltimore,SWP-Refuse Disposal,2022/03/31,No adequate equipment.,Returned to Compliance,2022/04/14,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2893815,"6257 Days Cove Rd, White Marsh, MD, 21162",39.3933883,-76.3879528,37
174260,Hugo Motor Company,9659 Ocean Gateway,"Easton, MD, 21601",Talbot,SWP-Scrap Tire,2024/08/22,unlicensed collection facility,Returned to Compliance,2024/11/15,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3200271,"9659 Ocean Gateway, Easton, MD, 21601",38.8141968,-76.0598317,38
430,Axillon Aerospace,3310 Carlins Park Drive,"Baltimore, MD, 21215-7851",Baltimore City,SWP-Hazardous Waste,2024/04/15,Facility has no adequate aisle space to allow unobstructed personnel movements [COMAR 26.13.05.03F]\line\line,Returned to Compliance,2024/04/16,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3132338,"3310 Carlins Park Drive, Baltimore, MD, 21215-7851",39.3247433,-76.6621497,39
64857,"MANN-PAK, Inc.","9601 Pulaski Park Dr, Ste 401","Middle River, MD, 21220",Baltimore,SWP-Hazardous Waste,2022/07/18,Accumulation time began is not clearly marked and visible on containers [COMAR 26.13.03.05E(1)(e)]\line\line,Returned to Compliance,2022/08/18,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2955705,"9601 Pulaski Park Dr, Ste 401, Middle River, MD, 21220",,,40
2967,Pleasants Excavating Co,24024 Frederick Rd,"Clarksburg, MD, 20871",Montgomery,SWP-Hazardous Waste,2023/01/06,Universal waste batteries were found to be not properly labeled,Returned to Compliance,2022/12/28,,"24024 Frederick Rd, Clarksburg, MD, 20871",39.2329031,-77.2716139,41
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Rd,"Westover, MD, 21871",Somerset,SWP-Refuse Disposal,2022/10/31,leachate outbreaks are not controlled,Returned to Compliance,2022/11/21,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2956518,"8716 James Ring Rd, Westover, MD, 21871",,,42
91964,Zodiac of North America,540 Thompson Creek Rd,"Stevensville, MD, 21666",Queen Anne's,SWP-Hazardous Waste,2024/02/22,Accumulation time began is not clearly marked and visible on containers [COMAR 26.13.03.05E(1)(e)]\line\line,Returned to Compliance,2024/02/16,,"540 Thompson Creek Rd, Stevensville, MD, 21666",38.9703891,-76.3105929,43
13670,Quarantine Road Municipal Landfill,6100 Quarantine Rd,"Curtis Bay, MD, 21226",Baltimore City,SWP-Refuse Disposal,2021/07/06,Unacceptable Waste accepted,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2786739,"6100 Quarantine Rd, Curtis Bay, MD, 21226",,,44
103050,Bay Town Painting Inc.,137 Stahl Point Rd,"Curtis Bay, MD, 21226",Anne Arundel,SWP-Hazardous Waste,2023/03/14,Satellite accumulation exceed maximum quantity limits (55 gallons or 1 quart acute) CHS [COMAR 26.13.03.05E(3)]\line\line,Returned to Compliance,2023/05/17,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2993938,"137 Stahl Point Rd, Curtis Bay, MD, 21226",,,45
10777,Flavor & Fragrance Specialties,"8800 Kelso Dr, Ste P","Essex, MD, 21221",Baltimore,SWP-Hazardous Waste,2022/07/18,Generator of hazardous waste did not use required manifest [COMAR 26.13.03.04A(1)]\line\line,Returned to Compliance,2022/07/20,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2941046,"8800 Kelso Dr, Ste P, Essex, MD, 21221",,,46
184000,Trending Motorsports Techniques,900 East Patrick St,"Frederick, MD, 21701",Frederick,SWP-Scrap Tire,2024/10/15,Business needs to becomes a licensed Scrap Tire Collection Facility if their business generates any scrap tires. Note business’s website cites tire/wheel mounting as a service they offer. Observations show at least 5 scrap tires in possession by Trending Motorsports Techniques.,Returned to Compliance,2026/01/15,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3223814,"900 East Patrick St, Frederick, MD, 21701",39.4087242,-77.3925455,47
165391,Tharos Training Center,6101 Fallard Dr,"Upper Marlboro, MD, 20772",Prince George's,SWP-Hazardous Waste,2024/10/17,Generator had no employees' training record on file (current until facility closure and former for 3 years) [COMAR 26.13.05.02G(5)]\line\line,Returned to Compliance,2025/10/22,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3366372,"6101 Fallard Dr, Upper Marlboro, MD, 20772",38.8054003,-76.8419862,48
4128,Plymouth Tube Company,2000 Industrial Pkwy,"Salisbury, MD, 21801",Wicomico,SWP-Hazardous Waste,2022/03/25,Generator had no employees' training record on file (current until facility closure and former for 3 years) [COMAR 26.13.05.02G(5)]\line\line,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2869940,"2000 Industrial Pkwy, Salisbury, MD, 21801",38.39503,-75.58888,49
107317,Aspen Nursery,15710 New Hampshire Ave,"Silver Spring, MD, 20905",Montgomery,SWP-Natural Wood Waste,2022/05/24,"Minimum spacing between all feedstock, active compost, and curing piles are not specified in the CFOP and meet requirements of the local jurisdiction for placement.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2916982,"15710 New Hampshire Ave, Silver Spring, MD, 20905",39.076572,-77.0018621,50
147840,Charlotte Hall Natural Wood Waste Recycling Facility,37308 Carpenter Ln,"Charlotte Hall, MD, 20622",St. Mary's,SWP-Natural Wood Waste,2022/12/01,"No site plan available on site, see open site complaint",Returned to Compliance,2025/02/20,,"37308 Carpenter Ln, Charlotte Hall, MD, 20622",,,51
11163,Target Store 1045,11200 Reisterstown Rd,"Owings Mills, MD, 21117",Baltimore,SWP-Hazardous Waste,2021/11/30,Generator did not sign and date each manifest [COMAR 26.13.03.04E(1)(a)]\line\line,Returned to Compliance,2021/10/29,,"11200 Reisterstown Rd, Owings Mills, MD, 21117",39.432847,-76.79916,52
63585,Baltimore Recycling Center LLC,1030 Edison Hwy,"Baltimore, MD, 21213",Baltimore City,SWP-Refuse Disposal,2023/07/17,Waste tipping occurred beyond approved tipping floor at the time of inspection. See inspection report,Returned to Compliance,2023/09/27,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3042470,"1030 Edison Hwy, Baltimore, MD, 21213",39.3030238,-76.5744554,53
171997,Alafia Holdings III,118 - 138 McPhail St,"Baltimore City, MD, 21223",Baltimore City,SWP-Refuse Disposal,2025/12/16,"No waste appears to have been added or removed since the previous inspection in June. The berm of waste, scrap tires, car parts, bagged trash, plastic waste, and litter remain openly dumped on the property.","Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3391034,"118 - 138 McPhail St, Baltimore City, MD, 21223",,,54
22050,"Cunningham Excavating, Inc",1451 Capitol Raceway Rd,"Crofton, MD, 21114",Anne Arundel,SWP-Refuse Disposal,2024/07/27,Overgrown woody vegetation,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3200274,"1451 Capitol Raceway Rd, Crofton, MD, 21114",39.0256897,-76.6925933,55
18757,"AA Recycle II LLC, dba Chesapeake Landscape Materials",8217 Baltimore-Annapolis Blvd.,"Pasadena, MD, 21122",Anne Arundel,SWP-Natural Wood Waste,2025/04/18,Wood waste is not processed and removed within 30 days.,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3352106,"8217 Baltimore-Annapolis Blvd., Pasadena, MD, 21122",39.1194987,-76.5660694,56
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Rd,"Westover, MD, 21871",Somerset,SWP-Refuse Disposal,2022/04/13,Leachate outbreaks are not prevented,Returned to Compliance,2022/04/20,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2894615,"8716 James Ring Rd, Westover, MD, 21871",,,57
19538,Dorchester County DPW - Beulah Municipal Landfill,6815 E New Market Ellwood Rd,"Hurlock, MD, 21643",Dorchester,SWP-Refuse Disposal,2022/12/06,NWW open dumping,Returned to Compliance,2024/01/25,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2958251,"6815 E New Market Ellwood Rd, Hurlock, MD, 21643",,,58
65919,"Tom Hodges Auto Sales, Tire and Service Center",24177 Tom Hodges Dr,"Hollywood, MD, 20636",St. Mary's,SWP-Scrap Tire,2024/09/06,Expired ST Lic.,Returned to Compliance,2024/09/12,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3211178,"24177 Tom Hodges Dr, Hollywood, MD, 20636",,,59
3640,Culpeper of Fruitland LLC,28114 Old Eden Rd,"Eden, MD, 21826",Wicomico,SWP-Hazardous Waste,2024/03/15,No labeling of universal waste,Returned to Compliance,2024/03/08,,"28114 Old Eden Rd, Eden, MD, 21826",,,60
11999,MedStar Saint Mary's,25500 Point Lookout Rd,"Leonardtown, MD, 20650",St. Mary's,SWP-Hazardous Waste,2025/04/09,Container used for satellite accumulation not closed [COMAR 26.13.03.05E(3)(a)]\line\line,Returned to Compliance,2025/03/28,,"25500 Point Lookout Rd, Leonardtown, MD, 20650",38.2975736,-76.6362702,61
10777,Flavor & Fragrance Specialties,"8800 Kelso Dr, Ste P","Essex, MD, 21221",Baltimore,SWP-Hazardous Waste,2022/07/18,"Satellite accumulation containers are not marked ""Hazardous Waste"" or name of content [COMAR 26.13.03.05E(3)(b)]\line\line",Returned to Compliance,2022/07/20,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2943181,"8800 Kelso Dr, Ste P, Essex, MD, 21221",,,62
7082,Company One - Anthony Simmons,4301 Eastern Ave,"Baltimore, MD, 21224",Baltimore City,SWP-Hazardous Waste,2023/03/03,The facility did not make a hazardous waste determination for hazardous waste dumped.,Returned to Compliance,2025/05/15,,"4301 Eastern Ave, Baltimore, MD, 21224",39.286728,-76.5603144,63
19538,Dorchester County DPW - Beulah Municipal Landfill,6815 E New Market Ellwood Rd,"Hurlock, MD, 21643",Dorchester,SWP-Refuse Disposal,2025/05/18,Leachate collection is deficient for Cell 1  leachate pump being turned off and control panel  red-light reading leachate pump 1 sump high,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3337044,"6815 E New Market Ellwood Rd, Hurlock, MD, 21643",,,64
9496,Home Depot HD2554,6003 Oxon Hill Rd,"Oxon Hill, MD, 20745",Prince George's,SWP-Hazardous Waste,2025/04/09,There is no adequate containment system in place [COMAR 26.13.05.09H]\line\line,"Ongoing, Referred to Enforcement",2025/03/12,,"6003 Oxon Hill Rd, Oxon Hill, MD, 20745",38.8057579,-76.9786398,65
23686,Somerset County Landfill - Fairmount Site,8716 James Ring Rd,"Westover, MD, 21871",Somerset,SWP-Refuse Disposal,2022/04/13,Daily or periodic cover is not applied within the required time period,Returned to Compliance,2022/04/20,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2894615,"8716 James Ring Rd, Westover, MD, 21871",,,66
1839,Fort George G. Meade WWTP,2212 Chisholm Avenue,"Fort George G. Meade, MD, 20755-5115",Anne Arundel,SWP-Hazardous Waste,2024/12/10,"Waste transported or offered for transportation without being packaged in accordance with DOT requirements (49 CFR 173, 178, & 179) [COMAR 26.13.03.05A]\line\line",Returned to Compliance,2024/11/26,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3246792,"2212 Chisholm Avenue, Fort George G. Meade, MD, 20755-5115",,,67
169192,"RAPAFUSYN Research and Development, Inc","855 N Wolfe St, Ste 102","Baltimore City, MD, 21205",Baltimore City,SWP-Hazardous Waste,2023/09/25,Generator had no employees' training record on file (current until facility closure and former for 3 years) [COMAR 26.13.05.02G(5)]\line\line,Returned to Compliance,2024/08/06,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3198768,"855 N Wolfe St, Ste 102, Baltimore City, MD, 21205",,,68
592,Mount Washington Pediatric Hospital,1708 W Rogers Ave,"Mount Washington, MD, 21209",Baltimore City,SWP-Hazardous Waste,2025/08/26,Returned copies of manifest with facility signature and date not on file [COMAR 26.13.03.06A(1)]\line\line,Returned to Compliance,2025/07/25,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=3353790,"1708 W Rogers Ave, Mount Washington, MD, 21209",39.3630752,-76.6528233,69
29763,Newland Park Municipal Landfill,6948 Brick Kiln Rd,"Salisbury, MD, 21801",Wicomico,SWP-Refuse Disposal,2022/10/11,Sediment and erosion are not controlled adequately,"Ongoing, Referred to Enforcement",,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2955423,"6948 Brick Kiln Rd, Salisbury, MD, 21801",,,70
64857,"MANN-PAK, Inc.","9601 Pulaski Park Dr, Ste 401","Middle River, MD, 21220",Baltimore,SWP-Hazardous Waste,2022/07/18,"Generator did not maintain records relating to personnel engaged in hazardous waste management (job titles, job descriptions, personnel name) [COMAR 26.13.05.02G(4)(a-b)]\line\line",Returned to Compliance,2022/08/18,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2955705,"9601 Pulaski Park Dr, Ste 401, Middle River, MD, 21220",,,71
11403,Target Store 1003,7951 Nolpark Ct,"Glen Burnie, MD, 21061",Anne Arundel,SWP-Hazardous Waste,2021/07/19,"Satellite accumulation containers are not marked ""Hazardous Waste"" or name of content [COMAR 26.13.03.05E(3)(b)]\line\line",Returned to Compliance,2021/06/02,,"7951 Nolpark Ct, Glen Burnie, MD, 21061",39.1327234,-76.6338551,72
7016,Fair Hill Auto Center,5893 Telegraph Rd,"Elkton, MD, 21921",Cecil,SWP-Scrap Tire,2021/08/10,No ST License,Returned to Compliance,2022/10/02,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2799091,"5893 Telegraph Rd, Elkton, MD, 21921",,,73
